Number of occurrences (+-),POS,Lemma,Morph,Morph corrected phonetics,Gloss,замечания (ОТВЕТ НА НЕГО ПИШИТЕ КОММЕНТАРИЕМ К ЯЧЕЙКЕ),Context,ft,Transcription,Source
1,v,adgas,a<d>ɨrga-r=a;a-d-ɨ<r>ga-r=a;adɨrgɨ-r=a,a-d-ɨ<r>ga-r=a,IN-HPL-<IPFV>stay.IPFV-CVB=be,,()      mita (?)      a-d (be-ATTR)       ()      haja (later)      mi (this)      xɨle-š-dɨ (woman.PL-OBL.PL-ATTR)      nikja (islamic.wedding)      hɨʔɨ-r (4.do.PFV-CVB)      kar (thing)      mij (here)      mi (this)      a<d>ɨrga-r=a (<HPL>stay.IPFV-CVB=be)       ()      xa (PTCL)      xɨle-š-e (woman.PL-OBL.PL-ERG)      w-aʔa-r=a (3-do.IPFV-CVB=be)      nin-waldɨ (mother-ABSTR)       ()      q'oxe (adult)      d-aʔa-r=a (HPL-do.IPFV-CVB=be)       ()      ǯüdχud (stepchild)      χɨnimer=xa (child.PL=ADD)       ()      xele (later)      ǯü-kla (REFL-LOC)      Гьawalai-s (havalay/OBL-DAT)      ruʔu-r=a (1.go.IPFV-CVB=be)      sa (one)      χɨnɨχ (child)       ()      Miχri (mihri)      babai-s (granny/OBL-DAT)      d-uruʔu-r=a (HPL-go.IPFV-CVB=be)       ()      χɨnɨχ (child)      na (AND)      rɨš (daughter)      q'wa-r (two-2)       ()      ha-bɨr (he-PL)      q'oxe (adult)      d-uruʔu-r=a (HPL-go.IPFV-CVB=be)       (),"Эти женщины делают никях, они здесь остаются, эти женщины принимают материнство, они выращивают своих детей, потом ему Авала рождает одного ребенка, Михри бабушке рождается два ребенка сын и дочь, они вырастают.","mita ad aja mi xɨlešdɨ nikja hɨʔɨr mij mi adɨrgara ha xɨleše waʔara ninwaldɨ q'oχe daʔara ǯüduχud χɨnemerχa xele ǯükla Awalais ruʔura sa χɨnɨχ, Miχri babais duruʔura, χɨnɨχna rɨš q'war, habɨr q'oχe duruʔura ",kna_muhammadshafi05_1_6_18latin
1,v,eč'us,a<d>ubʁɨ-r-a;a-d-ubʁɨ-r=a,a-d-ubʁɨ-r=a,PV-HPL-bathe.IPFV-CVB=be,,()      lec'-ur-dɨ (river-OBL-ATTR)      tiʔ (that)      sur-u (side-LOC)      χa (also)       ()      χɨnim-er-0 (child/boy.OBL-PL-ABS)      xi-j-e (water-OBL-IN.ESSIVE)      a<d>ubʁɨ-r-a (<HPL>bathe.PFV-CVB-AUX1)      d-iši-r (HPL-be.PFV-CVB)      ani<d>iʔi (<HPL>is)      lec'-ur-a (river-OBL-IN.ESSIVE)      Samur-0 (Samur-ABS)      lec'-ur-a (river-OBL-IN.ESSIVE)       (),"а на той стороне реки случилось, что дети/мальчики искупались в воде <...> в реке <...> в реке Самур",lec'urdɨ tiʔ suru χa χɨnimer xije adubʁɨra dišir anidiʔi lec'ura samur lec'ura,latin_kna_said04latin
1,stat,a,a-d\i-š;a-dɨš;a-diš,a-diš,be-NO,,he-mi (EMPH-this)      nuw\i-kla=xa ()      w\i- (you.SG)      mi\?g  (this)      ti\?g  (that)      dUtmiš  ()      r-iši-jne (F-become-TEMP2)      . ()      hele ()      zad (1SG.ERG)      hele (later)      wa-s (you.SG-DAT)      hajir ()       a-d\i-š  (be-NO),"Если ты от него тоже уйдешь (как попало будешь себя вести), добра не жди от меня","hemi nuw\i-kla xa w\i- mi\?g ti\?g dUtmiš rišijne, hele was zakla hajir ad\i-š ",Magomedshapi_Nina_glossed_23_07latin
2,stat,a,a-diš-d\i-;a-diš-dɨ,a-diš-dɨ,be-NO-ATTR,,b\i-j (height)      a-diš-d\i- (be-NO-ATTR)      buxax (beauty)      a-diš-d\i- (be-NO-ATTR)      sa (one)      a|ǯiz-d\i- (thin-ATTR),"Ни роста нет, ни мощи (ширины) такой худющий","b\i-j adišd\i-, buxax adišd\i-, sa a|ǯizd\i- ",Magomedshapi_Nina_glossed_23_07latin
1,stat,a,a-diš-ma,a-diš-ma,be-NO-Q,,k'ɨb (early)      jiz (snow)      huʔu-r=a (4.go.IPFV-CVB=be)      man (???)      sentjabara-d (sempember.OBL-ATTR)      eχira-s (end.OBL-DAT)      haʔa-s (4.do-INF)      sezona-la (season.OBL-SUPER.EL)      k'ɨb (early)      jiz (snow)      luʁu-ne (fall-COND)      perewal (pass)      ʁiʁi-r (close.PFV-CVB)      raˤq-a (way-ERG)      a-diš-ma (be-NO-LIM)      hile (where)      q-iq'a-s-ɨ (RE-1.come.IPFV-INF-FUT)      samolet (airplane)      a-diš (be-NO)      wertolet (helicopter)      a-diš (be-NO),"В конце сентября остался раньше времени снег, дорога закрылась,  проехать не на чем - самолета нет, вертолета нет.","K'ɨb jiz huʔura sentjabarad eχiras haʔas sezonala k'ɨb jiz luʁune perewal ʁiʁir raˤqa adišma hile qiq'asɨ, samolet adiš, wertolet adiš.",kna_said02
1,stat,a,a-dɨ,a-dɨ,be-ATTR,"явно не просто атрибутив (он a-d), надо бы проверить",wa-d=xa  (you-ERG=ADD)      ti  (yonder)      a-dɨ  (be-ATTR)      xur=xwa  (QUOT=ADD)      kašir-a-kan  (porridge-OBL-COM)      xur=xwa  (QUOT=ADD)      kef  (pleasure)      haʔ  (4.do.IMP)      xur. (QUOT),Ты тоже с этой кашей кайфуй.,Вad=xa ti adɨ xur=xwa kaširakan xur=xwa kef haʔ xur.,kna_2018_17_gljh_1942latin
3,stat,a,a-ma,a-ma,be-Q,,dibir (dibir)      xu-r=xa (say.PFV-CVB=ADD)      ramazan-a (ramazan-ERG)      wa-s (you.SG.OBL-DAT)      hac'a-r-\i--ma?  (know.IPFV-CVB-?-INTRG)      gʲaG-a  (look-IMP)      xurxa (say.PFV-CVB=ADD)      narmalna (normal)       aq'al-d\i-   (clever-ATTR)      a-ma (be-INTERR)      aa ()      jiz-d\i- (I.SG.OBL-ATTR)      dar\i-x ()      m\i-š-wal-d\i- (?-ABSTR-ATTR)      ? ()      a-ma (be-INTERR)      wa-s (you.SG.OBL-DAT)      saakit (calm)      j-ii-ma (1-COP1-INTERR)      j-ii (1-COP1)      mi (this)      ne (NEG)      razi-wal-d\i- (content-ABSTR-ATTR)      a-ma (be-INTERR)      wa (yes?)      razi-wal-d\i- (content-ABSTR-ATTR)      sin (all)      razi// (),"Ты знаешь? посмотри, я в своем уме? Я сержусь или я спокоен?""Недовольные есть ли?  - Нету, довольны.""","dibir xurxa Ramazana was hac'ar\i-ma? gʲaGa xurxa normalьno aq'ald\i- ""mi ne raziwald\i- ama - wa, raziwald\i-, sin razi= """,Magomedshapi_Nina_glossed_23_07latin
1,stat,a,a-na,a-na,be-CVB,,sa-waχt-indi (one-time.???)      χumuχun (autumn-???)      mi-d (that-ATTR)      h-uʔu-na (EMPH-up-there?)      Azerbajdžan-a (Azerbajdzhan-IN.ESS)      a-na (be-CVB)      а (be),Однажды осенью он в Азербайджане остался.,Sawaχtindi χumuχun mid huʔna Azerbajǯana ana a.,kna_said02
19,stat,a,a-ni;ani,a-ni,be-СVB,,Рутульский ()      rajon-a (rajon-IN.ESS)      mɨˤχabiš-dɨ (Rutul.OBL-ATTR)      rajon-a (rajon-INESS)      a-ni (be-СVB)      w-iʔi  (3-COP1)      Kusur-a (Kusur-ERG)      xur (Q)      muˤɢ (village),В рутульском районе есть такое село - Кусур.,Рутульский rajona Mɨˤχabišdɨ rajona ani wiʔi Kusura xur muˤɢ.,kna_said02
3,*(stat stat),a i,a-ni-i;aniʔi,a-ni i,be-CVB COP2,,w-iši-r (3-become-CVB)      a-ni-i (be-CVB-PST)      did (father)      jiq'i-ga (1.die.PFV-TEMP1)      načaʁ (ill)      r-iši-r-a (2-become-CVB-be)      a-ni-i (be-CVB-PST)      q'ʷaˁd (two)      apiracii (surgery)      hɨʔɨ-r ( 4.do.PFV-CVB)      a-ni-i (be-CVB-PST)      haja-quʔ (4.do.IPFV-backwards)      za-da (I-ERG)      gʷalaχ (job)      juq'u-du (hard-ATTR)      gʷalaχ (job)      q-a<w>aʔa-s (<3>-RE-do-INF)      ruʔu-r-dɨš (1.become.IPFV-CVB-NO),"было, когда отец умер.""Заболела, две операции перенесла. После операции я тяжелую работу не могу делать.""","wišir ani i did jiq'iga""načaʁ rišira aniʔi, q'ʷaˁd apiracii hɨʔɨr aniʔi. hajaqu zada gʷalaχ juq'udu gʷalaχ qawaʔas ruʔurdɨš""",180724_0081_18-10-18
1,*(stat stat),a wiʔi,a-ni-j-i-ʔi,a-ni jiʔi,be-CVB 1.COP1,,šak  (feeling)      eRidxu-r (leave.PFV-CVB)      hac'\i--r (1.know.PFV-CVB)      mi-j (this-?)      wa-kan (you.OBL-COMIT)      a-ni-j-i-ʔi (be-CVB-1-be-PST),"уверен (предчувствие вышло), узнал, тут с тобой кто-то есть",šak eRidxur hac'\i-r mij wakan anijiʔi,Magomedshapi_Nina_glossed_23_07latin
1,*(stat stat),a wiʔi,a-ni-j-ii-j,a-ni jiʔi-j,be-CVB 4.COP1-PST,,ǯu-du=xa (self.M.OBL-ATTR=ADD)      dur (name)      i<t>xu-r (<4>enter.PFV-CVB )      a-ni-j-ii-j (be-CVB-PST)      supel-ej (moustache-?),,ǯuduxa dur itxur ani jiij supelej,Magomedshapi_Nina_glossed_23_07latin
1,v,aʁabχun,aʁabχud;aʁa<b>χu-d;a-ʁ-a<b>χu-d,a-ʁ-a<b>χu-d,PV-PV-<3>round.slice-ATTR,глагол?,t'ile-bɨr (dough-PL)      aʁabχud (<4>round.slice-ATTR)      kar (thing)      ruʔu-r=a (4.become.IPFV-CVB=be)      ha-d (that-ATTR)      le<b>ču-r=a (<4>take.IPFV-CVB=be),Мы покупаем эту штуку.,t'ilebɨr aʁabχud kar ruʔura had lebčura.,kna_maisarat02.textgrid
1,v,aʁabχun,aʁa<b>ʁu-r=a;aʁa<b>χu-r=a;a-ʁ-a<b>χu-r=a,a-ʁ-a<b>χu-r=a,PV-PV-<3>round.slice-CVB=be,глагол?,hai-kan (that.OBL-COMT)      t'ile-bɨr (dough-PL)      aʁa<b>ʁu-r=a (<4>round.slice-ATTR),С ней вареники режем.,haikan t'ilebɨr ahabʁura.,kna_maisarat02.textgrid
1,v,aʁaʔas,a-ʁ-ɨʔɨ-r,a-ʁ-ɨʔɨ-r,IN-OUT-4.do.PVF-CVB,,hi<r>ga-r=a (<?>chase-cvb=be)      hiši-r=a (4.become.pfv-cvb=be)      haʔa-s (do.ipfv-inf)      süri-mi-kan (herd-obl.pl-com)      a-ʁ-ɨʔɨ-r (pv-pv-chase-cvb)      hi<r>ga-r=a (<?>chase-cvb=be)      hiši-r=a (4.become.pfv-cvb=be),"гонят целыми стадами, выгоняют, гонят",hirgara išira haʔasa sürimikan aʁɨʔɨr hirgara išira,180722_0090
6,adv,aʔ,a;aʔ;a-ʔ,a-ʔ,inside-LAT,,h\i-m\i-?  (now)      ji<d>q'\i--r  (<HPL>go.PFV-CVB)      jaRmiš-kilšim-b\i-r  (gather-?-PL)      hara (?)      a (inside)      elč'u-r  (enter?-CVB)      aa (down)      s\i-<d>q'\i--r  (<HPL>sit.PFV-CVB)      kar (thing)      ? (),"Зашли, зашли внутрь, дело сделали (?)",h\i-m\i-? jidq'\i-r jaRmiškilšimb\i-r hara a elč'ur aa s\i-tq'\i-r kar h\i-\i-r,Magomedshapi_Nina_glossed_23_07latin
1,v,adgas,adga=xa;a<d>g-a=xa,a<d>g-a=xa,<4>IN.stay-IMP=ADD,,waχt-bɨr (time-pl)      saʔat-bɨr (hour-pl)      l-itxu-r=a (pv-pass-cvb=be)      insan-a-ra (person-obl-erg)      mal (cattle)      ɢe<q>i<b>tɨ-r (<re><apl>let.go-cvb)      dawar (cow)      gi<l>tɨ-r (<hpl>pet-cvb)      hɨga-r=a (4.want-cvb=be)      ʁa-ʔ (out-lat)      higa=xa (chase.imp=add)      hɨga-r=a (4.want-cvb=be)      dam-ɨ-d (forest-obl-atr)      jiq'-a-d (middle-obl-atr)      χuda (?)      adga=xa (leave.imp=add)      q-ile-r=a-diš=xa (re-eat-cvb=be-no=add),"летит время, часы, и люди заново скот заводят, коров, то же заводят, куда хотите отпускайте, если хотите в середину леса, волки снова их не едят",waχtbɨr saʔatbɨr litxurxa insanara mal ɢeqibtɨr dawar giltɨr hɨgara ʁaʔ higa xurxa hɨgara damɨd jiq'ad χuda adgaxa qileradiš xurxa,180722_0090
